rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_Assets,자산 총계,-,제 2 기 3분기말,1056196306755,제 1 기말,1143492676338,7,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 2 기 3분기말,601287524429,제 1 기말,683891275777,8,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 2 기 3분기말,25943494565,제 1 기말,31790200174,9,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_CurrentTaxAssets,유동당기법인세자산,-,제 2 기 3분기말,1632703208,제 1 기말,7336498154,10,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 2 기 3분기말,304881403656,제 1 기말,348134181804,11,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 2 기 3분기말,19937882465,제 1 기말,23700175516,12,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 2 기 3분기말,3096285682,제 1 기말,1207922872,13,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 2 기 3분기말,245795754853,제 1 기말,271722297257,14,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 2 기 3분기말,454908782326,제 1 기말,459601400561,15,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 2 기 3분기말,10453340028,제 1 기말,8446049297,16,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,-,제 2 기 3분기말,20807750607,제 1 기말,15967613793,17,KRW,6290000000,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업투자,-,제 2 기 3분기말,335177577665,제 1 기말,323160473330,18,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 2 기 3분기말,23002766937,제 1 기말,0,19,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncurrentReceivables,장기매출채권및기타채권,-,제 2 기 3분기말,5252119528,제 1 기말,3883401779,20,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타비유동자산,-,제 2 기 3분기말,131075715,제 1 기말,181640473,21,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 2 기 3분기말,18167739062,제 1 기말,1712501470,22,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 2 기 3분기말,41916412784,제 1 기말,106249720419,23,KRW,99190000000,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_Equity,자본 총계,-,제 2 기 3분기말,551373500696,제 1 기말,553338553702,25,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 2 기 3분기말,546066288051,제 1 기말,548566013487,26,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 2 기 3분기말,100202933463,제 1 기말,112249429715,27,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 2 기 3분기말,18629635000,제 1 기말,18629635000,28,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 2 기 3분기말,327538208235,제 1 기말,17991437419,29,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_SharePremium,주식발행초과금,-,제 2 기 3분기말,99695511353,제 1 기말,399695511353,30,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 2 기 3분기말,5307212645,제 1 기말,4772540215,31,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_EquityAndLiabilities,부채와 자본 총계,-,제 2 기 3분기말,1056196306755,제 1 기말,1143492676338,32,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 2 기 3분기말,473707465450,제 1 기말,565635836784,34,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings,단기차입금및유동성장기차입금,-,제 2 기 3분기말,166368603393,제 1 기말,229232424873,35,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,유동당기법인세부채,-,제 2 기 3분기말,384306449,제 1 기말,2985456764,36,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 2 기 3분기말,3959686658,제 1 기말,4020927673,37,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타유동부채,-,제 2 기 3분기말,23549359349,제 1 기말,25025918629,38,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 2 기 3분기말,279445509601,제 1 기말,304371108845,39,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_Liabilities,부채 총계,-,제 2 기 3분기말,504822806059,제 1 기말,590154122636,40,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 2 기 3분기말,31115340609,제 1 기말,24518285852,41,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 2 기 3분기말,14494285635,제 1 기말,16112762575,42,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncurrentPayables,장기매입채무및기타채무,-,제 2 기 3분기말,3257839831,제 1 기말,149692185,43,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncurrentProvisions,충당부채,-,제 2 기 3분기말,140462485,제 1 기말,152100771,44,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,-,제 2 기 3분기말,4850138998,제 1 기말,2274165794,45,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 2 기 3분기말,8372613660,제 1 기말,5829564527,46,KRW,,,,,,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 2 기 3분기,12650461694,,,6,KRW,,34219403699,제 1 기 3분기,12389439681,12389439681,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,dart_OtherGains,기타수익,-,제 2 기 3분기,49836539,,,7,KRW,,784382351,제 1 기 3분기,138729204,138729204,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,dart_OtherLosses,기타비용,-,제 2 기 3분기,34657064,,,8,KRW,,442321184,제 1 기 3분기,12635234,12635234,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 2 기 3분기,18557072986,,,9,KRW,,55608776825,제 1 기 3분기,15962434597,15962434597,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,ifrs-full_CostOfSales,매출원가,-,제 2 기 3분기,377518951067,,,10,KRW,,1126357484623,제 1 기 3분기,395044960542,395044960542,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익,-,제 2 기 3분기,1455,,,12,KRW,,4092,제 1 기 3분기,1478,1478,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),-,제 2 기 3분기,0,,,13,KRW,,-1235,제 1 기 3분기,-1369,-1369,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 2 기 3분기,6950071107,,,14,KRW,,19503778898,제 1 기 3분기,7048290830,7048290830,487570,HS효성,CFS
20251114002078,11014,2025,01854763,IS,손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 2 기 3분기,2044091777,,,15,KRW,,6312537133,제 1 기 3분기,2424788971,2424788971,487570,HS효성,CFS
