rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,ticker,corp_name,fs_div
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,-,제 21 기 1분기말,3284142553000,제 20 기말,3214652758000,30,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본,-,제 21 기 1분기말,131104985000,제 20 기말,128782288000,31,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 21 기 1분기말,157406843000,제 20 기말,142108454000,32,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 21 기 1분기말,20826049000,제 20 기말,20826049000,33,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 21 기 1분기말,1452468825000,제 20 기말,1400600116000,34,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_SharePremium,주식발행초과금,-,제 21 기 1분기말,1522335851000,제 20 기말,1522335851000,35,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 21 기 1분기말,289491319000,제 20 기말,299125900000,36,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_EquityAndLiabilities,부채와 자본 총계,-,제 21 기 1분기말,5517511523000,제 20 기말,5479186860000,37,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 21 기 1분기말,827722442000,제 20 기말,830931772000,39,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,dart_CurrentPortionOfConvertibleBonds,유동성전환사채,-,제 21 기 1분기말,188125000,제 20 기말,186359000,40,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 21 기 1분기말,41280352000,제 20 기말,33046028000,41,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,리스부채,-,제 21 기 1분기말,35698036000,제 20 기말,35733078000,42,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 21 기 1분기말,100000000000,제 20 기말,100000000000,43,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 21 기 1분기말,33605839000,제 20 기말,46243595000,44,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 21 기 1분기말,341941154000,제 20 기말,324998809000,45,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타유동부채,-,제 21 기 1분기말,275008936000,제 20 기말,290723903000,46,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 21 기 1분기말,1943877651000,제 20 기말,1965408202000,47,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 21 기 1분기말,1116155209000,제 20 기말,1134476430000,48,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,dart_ConvertibleBondsNet,전환사채,-,제 21 기 1분기말,359734980000,제 20 기말,356060287000,49,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 21 기 1분기말,5163282000,제 20 기말,4485661000,50,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 21 기 1분기말,21335947000,제 20 기말,38192934000,51,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 21 기 1분기말,202929143000,제 20 기말,213260216000,52,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,장기차입금,-,제 21 기 1분기말,386000000000,제 20 기말,386000000000,53,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_NoncurrentProvisions,충당부채,-,제 21 기 1분기말,36972505000,제 20 기말,36597964000,54,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 21 기 1분기말,101002507000,제 20 기말,98029180000,55,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,BS,재무상태표,ifrs-full_OtherNoncurrentLiabilities,기타비유동부채,-,제 21 기 1분기말,3016845000,제 20 기말,1850188000,56,KRW,,,,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,-,제 21 기 1분기,6832706000,,,6,KRW,6832706000,제 20 기 1분기,2872884000,2872884000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 21 기 1분기,21622540000,,,7,KRW,21622540000,제 20 기 1분기,14383571000,14383571000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 21 기 1분기,480880000,,,8,KRW,480880000,제 20 기 1분기,1171832000,1171832000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 21 기 1분기,4782876000,,,9,KRW,4782876000,제 20 기 1분기,1457767000,1457767000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,-,제 21 기 1분기,1029530000,,,10,KRW,1029530000,제 20 기 1분기,87016000,87016000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 21 기 1분기,196535976000,,,11,KRW,196535976000,제 20 기 1분기,162801384000,162801384000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,총포괄손익,-,제 21 기 1분기,70846089000,,,12,KRW,70846089000,제 20 기 1분기,68295823000,68295823000,,,352820,하이브,CFS
