rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250813000516,11012,2025,01817081,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 2 기 반기말,-1029786760,제 1 기말,-479552489,34,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 2 기 반기말,-29339028,제 1 기말,591873291,35,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 2 기 반기말,6750808400,제 1 기말,6738379000,36,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 2 기 반기말,36733857440,제 1 기말,21421020279,37,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 2 기 반기말,1234878384284,제 1 기말,731694676657,38,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 2 기 반기말,639730535422,제 1 기말,297066304665,40,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,dart_CurrentDerivativeLiabilities,유동파생상품부채,-,제 2 기 반기말,5082702312,제 1 기말,0,41,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 2 기 반기말,1474890858,제 1 기말,3871591712,42,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,-표준계정코드 미사용-,단기차입금,-,제 2 기 반기말,9000000000,제 1 기말,9000000000,43,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,-표준계정코드 미사용-,유동성장기차입금,-,제 2 기 반기말,35081962380,제 1 기말,72482840611,44,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_CurrentBondsIssuedAndCurrentPortionOfNoncurrentBondsIssued,유동성사채,-,제 2 기 반기말,78929331485,제 1 기말,56819070933,45,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_CurrentContractLiabilities,계약부채,-,제 2 기 반기말,28083701000,제 1 기말,48690760000,46,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 2 기 반기말,6220007756,제 1 기말,0,47,KRW,,,,,,475150,SK이터닉스,CFS
