rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,ticker,corp_name,fs_div
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 2 기 1분기말,10932242352,제 1 기말,10862190797,6,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 2 기 1분기말,10932242352,제 1 기말,10862190797,8,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_AccruedIncomeIncludingContractAssets,미수수익,-,제 2 기 1분기말,125978777,제 1 기말,52745901,9,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 2 기 1분기말,216159,제 1 기말,263909,10,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_CurrentTaxAssets,선납세금,-,제 2 기 1분기말,17930,제 1 기말,17930,11,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산,-,제 2 기 1분기말,1806029486,제 1 기말,1809163057,12,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 2 기 1분기말,9000000000,제 1 기말,9000000000,13,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 2 기 1분기말,0,제 1 기말,0,14,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 2 기 1분기말,8870112426,제 1 기말,8870112426,17,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,dart_ConsiderationConversionRightsCapitalSurplus,전환권대가,-,제 2 기 1분기말,312272426,제 1 기말,312272426,18,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_SharePremium,주식발행초과금,-,제 2 기 1분기말,8557840000,제 1 기말,8557840000,19,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 2 기 1분기말,9388704939,제 1 기말,9351733110,20,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 2 기 1분기말,472000000,제 1 기말,472000000,21,KRW,,488060,유진스팩11호,OFS
20250515001146,11013,2025,01854392,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 2 기 1분기말,46592513,제 1 기말,9620684,22,KRW,,488060,유진스팩11호,OFS
