rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 25 기 1분기말,170750279862,제 24 기말,165480875379,7,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 25 기 1분기말,41176007432,제 24 기말,33538594694,8,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 25 기 1분기말,14194560145,제 24 기말,3138303883,9,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 25 기 1분기말,51494569,제 24 기말,44727199,10,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 25 기 1분기말,14434052805,제 24 기말,15848558099,11,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 25 기 1분기말,1549873817,제 24 기말,2252388128,12,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 25 기 1분기말,1980000000,제 24 기말,2020000000,13,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 25 기 1분기말,8966026096,제 24 기말,10234617385,14,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 25 기 1분기말,129574272430,제 24 기말,131942280685,15,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타채권,-,제 25 기 1분기말,558880570,제 24 기말,576750070,16,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치측정 금융자산,-,제 25 기 1분기말,3061187000,제 24 기말,3061187000,17,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,-표준계정코드 미사용-,비유동 기타포괄손익-공정가치 측정 금융자산 [개요],-,제 25 기 1분기말,393031622,제 24 기말,393031622,18,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 25 기 1분기말,18032169242,제 24 기말,18401952063,19,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업투자주식,-,제 25 기 1분기말,81681933129,제 24 기말,82830185897,20,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타비유동자산,-,제 25 기 1분기말,320567151,제 24 기말,407618751,21,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 25 기 1분기말,24489560467,제 24 기말,24909555070,22,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 25 기 1분기말,1036943249,제 24 기말,1362000212,23,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 25 기 1분기말,97736879818,제 24 기말,72664636241,25,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 25 기 1분기말,97736879818,제 24 기말,72664636241,26,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,dart_CapitalSurplus,기타불입자본,-,제 25 기 1분기말,255671369968,제 24 기말,250604239398,27,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 25 기 1분기말,-382651300,제 24 기말,591188756,28,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 25 기 1분기말,151799165000,제 24 기말,125261665000,29,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 25 기 1분기말,-309351003850,제 24 기말,-303792456913,30,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 25 기 1분기말,,제 24 기말,0,31,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 25 기 1분기말,170750279862,제 24 기말,165480875379,32,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 25 기 1분기말,57846222377,제 24 기말,77711943298,34,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,dart_CurrentPortionOfConvertibleBonds,전환사채(유동),-,제 25 기 1분기말,23054287926,제 24 기말,25752579841,35,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,-표준계정코드 미사용-,유동환불부채,-,제 25 기 1분기말,545485270,제 24 기말,593078388,36,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,리스부채,-,제 25 기 1분기말,716170457,제 24 기말,878699380,37,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 25 기 1분기말,2872629072,제 24 기말,2813609339,38,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,-,제 25 기 1분기말,1998041152,제 24 기말,2003967078,39,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타부채,-,제 25 기 1분기말,3762350410,제 24 기말,3849500004,40,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 25 기 1분기말,12023000000,제 24 기말,15176000000,41,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 25 기 1분기말,12874258090,제 24 기말,26644509268,42,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 25 기 1분기말,73013400044,제 24 기말,92816239138,43,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 25 기 1분기말,15167177667,제 24 기말,15104295840,44,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 25 기 1분기말,3548685720,제 24 기말,4060405997,45,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,-표준계정코드 미사용-,비유동환불부채,-,제 25 기 1분기말,10116726567,제 24 기말,9381858003,46,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 25 기 1분기말,972118849,제 24 기말,972118849,47,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,리스부채,-,제 25 기 1분기말,366058371,제 24 기말,533966084,48,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_NoncurrentProvisions,비유동충당부채,-,제 25 기 1분기말,47556910,제 24 기말,46979184,49,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,BS,재무상태표,ifrs-full_OtherNoncurrentLiabilities,기타 비유동 부채,-,제 25 기 1분기말,116031250,제 24 기말,108967723,50,KRW,,,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 25 기 1분기,-3019381933,,,6,KRW,-3019381933,제 24 기 1분기,-2502761018,-2502761018,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,dart_OtherGains,기타영업외수익,-,제 25 기 1분기,15019692,,,7,KRW,15019692,제 24 기 1분기,50494436,50494436,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,dart_OtherLosses,기타영업외손실,-,제 25 기 1분기,860418916,,,8,KRW,860418916,제 24 기 1분기,4285936,4285936,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 25 기 1분기,8836148119,,,9,KRW,8836148119,제 24 기 1분기,12103431481,12103431481,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법손실,-,제 25 기 1분기,-971451992,,,10,KRW,-971451992,제 24 기 1분기,-825664014,-825664014,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,분기총포괄손익,-,제 25 기 1분기,-6532386993,,,11,KRW,-6532386993,제 24 기 1분기,-4479699711,-4479699711,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주 지분,-,제 25 기 1분기,-6532386993,,,14,KRW,-6532386993,제 24 기 1분기,-4479699711,-4479699711,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 25 기 1분기,8289495977,,,15,KRW,8289495977,제 24 기 1분기,8984799040,8984799040,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_BasicEarningsLossPerShare,기본주당계속영업이익(손실),-,제 25 기 1분기,-106,,,19,KRW,-106,제 24 기 1분기,-76,-76,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_DilutedEarningsLossPerShare,희석주당계속영업이익(손실),-,제 25 기 1분기,-106,,,20,KRW,-106,제 24 기 1분기,-76,-76,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융원가,-,제 25 기 1분기,774505777,,,21,KRW,774505777,제 24 기 1분기,512014952,512014952,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 25 기 1분기,57928214,,,22,KRW,57928214,제 24 기 1분기,41745770,41745770,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익(손실),-,제 25 기 1분기,5816766186,,,23,KRW,5816766186,제 24 기 1분기,9600670463,9600670463,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,분기기타포괄손익,-,제 25 기 1분기,-973840056,,,25,KRW,-973840056,제 24 기 1분기,-707299937,-707299937,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자동변동,-,제 25 기 1분기,31374510,,,27,KRW,31374510,제 24 기 1분기,-1423632,-1423632,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,지분법자동변동,-,제 25 기 1분기,-1005214566,,,29,KRW,-1005214566,제 24 기 1분기,-705876305,-705876305,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ProfitLoss,분기순이익,-,제 25 기 1분기,-5558546937,,,30,KRW,-5558546937,제 24 기 1분기,-3772399774,-3772399774,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,-표준계정코드 미사용-,계속영업이익(손실),-,제 25 기 1분기,-5552810712,,,31,KRW,-5552810712,제 24 기 1분기,-3752485714,-3752485714,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,-표준계정코드 미사용-,중단영업이익(손실),-,제 25 기 1분기,-5736225,,,32,KRW,-5736225,제 24 기 1분기,-19914060,-19914060,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,-,제 25 기 1분기,-5558546937,,,35,KRW,-5558546937,제 24 기 1분기,-3772399774,-3772399774,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 25 기 1분기,-5552810712,,,36,KRW,-5552810712,제 24 기 1분기,-3752485714,-3752485714,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 25 기 1분기,14106262163,,,37,KRW,14106262163,제 24 기 1분기,18585469503,18585469503,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,-,제 25 기 1분기,3138303883,,,2,KRW,,제 24 기 1분기,6524928061,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,-,제 25 기 1분기,14194560145,,,3,KRW,,제 24 기 1분기,2878745132,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,-,제 25 기 1분기,24672459597,,,8,KRW,,제 24 기 1분기,-358548011,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,-,제 25 기 1분기,4653000000,,,9,KRW,,제 24 기 1분기,153000000,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,유상증자,-,제 25 기 1분기,31604630570,,,10,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,단기차입금의 차입,-,제 25 기 1분기,1500000000,,,11,KRW,,제 24 기 1분기,341000000,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,리스부채의 상환,-,제 25 기 1분기,-312475654,,,12,KRW,,제 24 기 1분기,-308929122,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,전환사채의 조기상환,-,제 25 기 1분기,-2847704205,,,13,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsFinancingActivities,이자의 지급,-,제 25 기 1분기,618991114,,,14,KRW,,제 24 기 1분기,237618889,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,-,제 25 기 1분기,-8203828086,,,15,KRW,,제 24 기 1분기,-1981063963,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,-,제 25 기 1분기,17869500,,,16,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,-,제 25 기 1분기,40000000,,,17,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,-,제 25 기 1분기,,,,18,KRW,,제 24 기 1분기,12033699,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,단기대여금의 감소,-,제 25 기 1분기,33000000,,,19,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,관계기업투자주식의 취득,-,제 25 기 1분기,-797039280,,,20,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,-,제 25 기 1분기,7424947506,,,21,KRW,,제 24 기 1분기,1003906692,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 25 기 1분기,72710800,,,22,KRW,,제 24 기 1분기,965123572,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-,제 25 기 1분기,-5411303110,,,23,KRW,,제 24 기 1분기,-1306835276,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동,-,제 25 기 1분기,-3366591588,,,24,KRW,,제 24 기 1분기,-166223001,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_AdjustmentsForDecreaseincreaseInTradeAndOtherCurrentReceivables,매출채권 및 기타유동채권의 감소,-,제 25 기 1분기,1170524697,,,25,KRW,,제 24 기 1분기,2482695211,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_AdjustmentsForIncreaseDecreaseInOtherNonCurrentLiabilities,기타비유동부채의 증가(감소),-,제 25 기 1분기,7063527,,,26,KRW,,제 24 기 1분기,,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_AdjustmentsForIncreaseDecreaseInProvisionsForReturnedGoods,환불부채의 증가(감소),-,제 25 기 1분기,687275446,,,27,KRW,,제 24 기 1분기,139742614,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,dart_AdjustmentsForIncreasedecreaseInProvisions,충당부채의 증가(감소),-,제 25 기 1분기,,,,28,KRW,,제 24 기 1분기,75293705,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,매입채무및기타유동채무의증가(감소),-,제 25 기 1분기,-6355549599,,,29,KRW,,제 24 기 1분기,-760028044,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,-표준계정코드 미사용-,퇴직금의 지급,-,제 25 기 1분기,-838848701,,,30,KRW,,제 24 기 1분기,-109369364,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),-,제 25 기 1분기,1444629057,,,31,KRW,,제 24 기 1분기,-1766044538,,082800,비보존 제약,CFS
20260515002417,11013,2026,00533191,CF,현금흐름표,ifrs-full_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,기타유동자산의 감소(증가),-,제 25 기 1분기,605463579,,,32,KRW,,제 24 기 1분기,-335416553,,082800,비보존 제약,CFS
