rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,ticker,corp_name,fs_div
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 2 기 3분기,3590391330,,,18,KRW,,11694652178,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 2 기 3분기,173633307,,,19,KRW,,452340699,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 2 기 3분기,29240366304,,,20,KRW,,73451227062,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 2 기 3분기,3780542202,,,21,KRW,,8187134187,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,세후기타포괄손익,-,제 2 기 3분기,124614189,,,22,KRW,,-601920184,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,-,제 2 기 3분기,158730657,,,24,KRW,,-450035962,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,-,제 2 기 3분기,-34116468,,,26,KRW,,-151884222,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_ProfitLoss,분기순이익,-,제 2 기 3분기,12783692210,,,27,KRW,,27134833346,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 2 기 3분기,4363404875,,,29,KRW,,9434146615,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,-,제 2 기 3분기,8420287335,,,30,KRW,,17700686731,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,-,제 2 기 3분기,16564234412,,,31,KRW,,35321967533,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CIS,포괄손익계산서,ifrs-full_Revenue,매출액 및 지분법이익,-,제 2 기 3분기,121961937049,,,32,KRW,,328582982143,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,-,제 2 기 3분기,8340921189,,,2,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,분기말의 현금및현금성자산,-,제 2 기 3분기,11425107347,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,-,제 2 기 3분기,118901791283,,,8,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,-표준계정코드 미사용-,재무활동으로 인한 현금 유입액,-,제 2 기 3분기,390476110939,,,9,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,-,제 2 기 3분기,2820784139,,,10,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_ProceedsFromBonds,사채의 증가,-,제 2 기 3분기,99684326800,,,11,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,-표준계정코드 미사용-,입회금의 증가,-,제 2 기 3분기,3198000000,,,12,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,-표준계정코드 미사용-,장기성예수보증금의 증가,-,제 2 기 3분기,3000000,,,13,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_ProceedsFromBorrowingsClassifiedAsFinancingActivities,차입금의 증가,-,제 2 기 3분기,284770000000,,,14,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,-표준계정코드 미사용-,재무활동으로 인한 현금 유출액,-,제 2 기 3분기,271574319656,,,15,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_AcquisitionOfTreasuryShares,자기주식의 취득,-,제 2 기 3분기,1180906398,,,16,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,-,제 2 기 3분기,3124066142,,,17,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,-표준계정코드 미사용-,입회금의 감소,-,제 2 기 3분기,135000000,,,18,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,-표준계정코드 미사용-,예수보증금의 감소,-,제 2 기 3분기,6000000,,,19,KRW,,,499790,GS피앤엘,CFS
