rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 27 기 1분기말,25003086794,제 26 기말,31405699755,7,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 27 기 1분기말,12164695176,제 26 기말,18471710695,8,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 27 기 1분기말,8441912139,제 26 기말,14261348507,9,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 27 기 1분기말,3066130,제 26 기말,183930,10,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 27 기 1분기말,2400709806,제 26 기말,2923776773,11,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 27 기 1분기말,458431956,제 26 기말,206120656,12,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 27 기 1분기말,22922680,제 26 기말,3798330,13,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 27 기 1분기말,837652465,제 26 기말,1076482499,14,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 27 기 1분기말,12838391618,제 26 기말,12933989060,15,KRW,,,,,062970,한국첨단소재,OFS
20250515001913,11013,2025,00403766,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 27 기 1분기말,3247461903,제 26 기말,3265667795,16,KRW,,,,,062970,한국첨단소재,OFS
