rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,ticker,corp_name,fs_div
20260407003361,11011,2025,00125822,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 51 기,0,제 50 기,2003291739,제 49 기,0,7,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 51 기,0,제 50 기,2003291739,제 49 기,0,8,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 51 기,323447212982,제 50 기,295754193989,제 49 기,341270065360,9,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 51 기,173486962735,제 50 기,149580803456,제 49 기,184933644058,10,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 51 기,6907962290,제 50 기,5374103182,제 49 기,14356853831,11,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 51 기,8115745,제 50 기,4053640,제 49 기,47387220,12,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 51 기,94731329790,제 50 기,83276712548,제 49 기,92606732650,13,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 51 기,5004632112,제 50 기,3699872502,제 49 기,3205154164,14,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 51 기,6616888600,제 50 기,6443897872,제 49 기,6820334070,15,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 51 기,60218034198,제 50 기,50782163712,제 49 기,67897182123,16,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 51 기,149960250247,제 50 기,144170098794,제 49 기,156336421302,17,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,"장기매출채권 및 기타비유동채권, 총액",-,제 51 기,2351262186,제 50 기,798247046,제 49 기,592328324,18,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 51 기,15522142,제 50 기,6497652,제 49 기,7876217,19,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 51 기,4167492741,제 50 기,4139989721,제 49 기,4777727329,20,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 51 기,17563031600,제 50 기,17089103700,제 49 기,17011807100,21,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업투자,-,제 51 기,6199743924,제 50 기,6176458914,제 49 기,6986757776,22,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타비유동자산,-,제 51 기,412847260,제 50 기,416847260,제 49 기,233967230,23,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 51 기,1373538079,제 50 기,1245627360,제 49 기,1102609784,24,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 51 기,117876812315,제 50 기,114297327141,제 49 기,125623347542,25,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 51 기,28189799723,제 50 기,31791814369,제 49 기,39343362619,27,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 51 기,1200350562,제 50 기,3631512891,제 49 기,12162635318,28,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 51 기,57568141918,제 50 기,54693955538,제 49 기,42024702098,29,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 51 기,-10099675,제 50 기,-10099675,제 49 기,-2211300,30,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 51 기,13122350237,제 50 기,13307512785,제 49 기,8317110352,31,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 51 기,1638609100,제 50 기,1514642200,제 49 기,5005590200,32,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 51 기,-71118651018,제 50 기,-65874497957,제 49 기,-43182556032,33,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 51 기,26989449161,제 50 기,28160301478,제 49 기,27180727301,34,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 51 기,323447212982,제 50 기,295754193989,제 49 기,341270065360,35,KRW,,009620,삼보산업,CFS
20260407003361,11011,2025,00125822,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 51 기,242647447453,제 50 기,209699341212,제 49 기,249913483719,37,KRW,,009620,삼보산업,CFS
