rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 41 기 반기말,445750746699,제 40 기말,396031860184,7,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 41 기 반기말,288252218982,제 40 기말,231530604360,8,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 41 기 반기말,38082747569,제 40 기말,19009563141,9,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 41 기 반기말,1549295710,제 40 기말,1380686768,10,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 41 기 반기말,141758787215,제 40 기말,113403860443,11,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 41 기 반기말,8746912165,제 40 기말,3298582545,12,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 41 기 반기말,4900838925,제 40 기말,6559907753,13,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기투자자산,-,제 41 기 반기말,28492386469,제 40 기말,29145300000,14,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권,-,제 41 기 반기말,64721250929,제 40 기말,58732703710,15,KRW,,,,,111110,호전실업,CFS
20250814003880,11012,2025,00226316,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 41 기 반기말,157498527717,제 40 기말,164501255824,16,KRW,,,,,111110,호전실업,CFS
