rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,ticker,corp_name,fs_div
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 62 기,669249520000,제 61 기,662367009425,제 60 기,653167357278,7,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 62 기,402183304042,제 61 기,379123674107,제 60 기,380416635975,8,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,dart_ShortTermDepositsProvidedNet,단기보증금,-,제 62 기,659003752,제 61 기,471653245,제 60 기,459222000,9,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 62 기,29288289636,제 61 기,19904264354,제 60 기,32297535515,10,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentContractAssets,계약자산,-,제 62 기,618440162,제 61 기,648216538,제 60 기,552344963,11,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialAssets,파생금융자산,-,제 62 기,520860142,제 61 기,121897929,제 60 기,236375937,12,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,유동 당기손익인식금융자산,-,제 62 기,19353541494,제 61 기,9993760000,제 60 기,11915000000,13,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 62 기,176298334037,제 61 기,186681067833,제 60 기,157279956112,14,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 62 기,2654652325,제 61 기,253266482,제 60 기,0,15,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타비금융자산,-,제 62 기,5039068853,제 61 기,4966863318,제 60 기,12602855570,16,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 62 기,36964307151,제 61 기,30513275085,제 60 기,34133957611,17,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 62 기,130786806490,제 61 기,125569409323,제 60 기,130939388267,18,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 62 기,267066215958,제 61 기,283243335318,제 60 기,272750721303,19,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,dart_LongTermDepositsProvidedNet,장기보증금,-,제 62 기,5419999810,제 61 기,5116329503,제 60 기,5244009374,20,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산 및 영업권,-,제 62 기,25995847732,제 61 기,22795534989,제 60 기,16480926805,21,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 62 기,929621819,제 61 기,328087260,제 60 기,231684000,22,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,-,제 62 기,11999935908,제 61 기,12143483372,제 60 기,12396214966,23,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentDerivativeFinancialAssets,비유동파생상품자산,-,제 62 기,0,제 61 기,0,제 60 기,425557536,24,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,비유동 당기손익인식금융자산,-,제 62 기,467355000,제 61 기,3589533551,제 60 기,2578600000,25,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 비유동금융자산,-,제 62 기,35170000,제 61 기,35170000,제 60 기,3821680564,26,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentReceivables,매출채권 및 기타비유동채권,-,제 62 기,24745621215,제 61 기,32744277117,제 60 기,31824791968,27,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,비유동 순확정급여자산,-,제 62 기,806072205,제 61 기,7220546661,제 60 기,0,28,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,-,제 62 기,120671521,제 61 기,86616118,제 60 기,833000000,29,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_OtherNonfinancialAssets,기타비금융자산,-,제 62 기,25804110,제 61 기,0,제 60 기,0,30,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 62 기,185534672298,제 61 기,188696486967,제 60 기,188288536472,31,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 62 기,10985444340,제 61 기,10487269780,제 60 기,10625719618,32,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 62 기,328829389364,제 61 기,255987732230,제 60 기,234014768285,34,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 62 기,270050730720,제 61 기,230699713641,제 60 기,209942217893,35,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 62 기,27127247232,제 61 기,2216156953,제 60 기,2661465968,36,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 62 기,9003976973,제 61 기,7514196905,제 60 기,2511209946,37,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 62 기,10341399000,제 61 기,10341399000,제 60 기,10341399000,38,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 62 기,212302035656,제 61 기,153351888924,제 60 기,137152071120,39,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_SharePremium,주식발행초과금,-,제 62 기,11276071859,제 61 기,57276071859,제 60 기,57276071859,40,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 62 기,58778658644,제 61 기,25288018589,제 60 기,24072550392,41,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 62 기,669249520000,제 61 기,662367009425,제 60 기,653167357278,42,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 62 기,314700251290,제 61 기,367047219193,제 60 기,374485802914,44,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 62 기,0,제 61 기,23484254664,제 60 기,35597442837,45,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,dart_CurrentPortionOfConvertibleBonds,유동성전환사채,-,제 62 기,564238944,제 61 기,503447446,제 60 기,449201430,46,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentContractLiabilities,유동계약부채,-,제 62 기,701999143,제 61 기,727983394,제 60 기,612267703,47,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialLiabilities,유동 파생상품 금융부채,-,제 62 기,184872746,제 61 기,776989685,제 60 기,376281056,48,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동 리스부채,-,제 62 기,1473768969,제 61 기,1384987069,제 60 기,1216907668,49,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentLoansReceivedAndCurrentPortionOfNoncurrentLoansReceived,단기차입금 및 유동성장기차입금,-,제 62 기,205105161692,제 61 기,232067129706,제 60 기,232397478341,50,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 62 기,294479489,제 61 기,181164667,제 60 기,239324947,51,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 62 기,5828516067,제 61 기,6861965968,제 60 기,6258625878,52,KRW,,024880,케이피에프,CFS
20260317000758,11011,2025,00157636,BS,재무상태표,ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정처분부채,-,제 62 기,315105022,제 61 기,0,제 60 기,0,53,KRW,,024880,케이피에프,CFS
