rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,ticker,corp_name,fs_div
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 74 기,974015674336,제 73 기,969739160656,제 72 기,985686727233,7,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 74 기,320604385079,제 73 기,319967771943,제 72 기,329042678141,8,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 74 기,50059481877,제 73 기,56604406544,제 72 기,85760313327,9,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 74 기,37489450,제 73 기,114525110,제 72 기,151504880,10,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 74 기,115546491441,제 73 기,123415808626,제 72 기,132020219269,11,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 74 기,81582917784,제 73 기,86931053241,제 72 기,89123987967,12,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 74 기,1907652473,제 73 기,1225556174,제 72 기,1208588644,13,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 74 기,615000,제 73 기,0,제 72 기,0,14,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_OtherCurrentReceivables,기타유동수취채권,-,제 74 기,13085204278,제 73 기,3624220108,제 72 기,2478077366,15,KRW,,000860,강남제비스코,CFS
20260318001400,11011,2025,00100939,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융기관예치금,-,제 74 기,58384532776,제 73 기,48052202140,제 72 기,18299986688,16,KRW,,000860,강남제비스코,CFS
