rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,-,제 16 기 1분기말,932052290320,제 15 기말,813035724864,,,35,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,dart_CapitalSurplus,기타불입자본,-,제 16 기 1분기말,1089320356201,제 15 기말,1084847581570,,,36,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 16 기 1분기말,52465751003,제 15 기말,43173479614,,,37,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 16 기 1분기말,39156625000,제 15 기말,39156625000,,,38,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_RetainedEarnings,결손금,-,제 16 기 1분기말,-248890441884,제 15 기말,-354141961320,,,39,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 16 기 1분기말,0,제 15 기말,13233800965,,,40,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_EquityAndLiabilities,부채와자본총계,-,제 16 기 1분기말,1320421294448,제 15 기말,1198308575535,,,41,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 16 기 1분기말,312151570269,제 15 기말,295199737074,,,43,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,dart_ShortTermGuaranteeDepositWithholdings,유동성예수보증금,-,제 16 기 1분기말,131599210,제 15 기말,32562186,,,44,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,dart_ShortTermWithholdings,예수금,-,제 16 기 1분기말,826420867,제 15 기말,5128142389,,,45,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,-표준계정코드 미사용-,유동성환불부채및충당부채,-,제 16 기 1분기말,199914544930,제 15 기말,160168953614,,,46,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_AccrualsClassifiedAsCurrent,미지급비용,-,제 16 기 1분기말,78101062153,제 15 기말,94637300839,,,47,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_CurrentAdvances,선수금,-,제 16 기 1분기말,11240524723,제 15 기말,12047455387,,,48,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialLiabilities,파생상품부채,-,제 16 기 1분기말,3619126223,제 15 기말,3126287376,,,49,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,-,제 16 기 1분기말,8915691634,제 15 기말,8429337188,,,50,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 16 기 1분기말,5051191436,제 15 기말,2099586677,,,51,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타유동부채,-,제 16 기 1분기말,111030969,제 15 기말,193277571,,,52,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers,매입채무,-,제 16 기 1분기말,4240378124,제 15 기말,9336833847,,,53,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 16 기 1분기말,388369004128,제 15 기말,372039049706,,,54,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 16 기 1분기말,76217433859,제 15 기말,76839312632,,,55,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,dart_LongTermGuaranteeDepositWithholdingsNet,예수보증금,-,제 16 기 1분기말,16925669236,제 15 기말,15825221174,,,56,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,리스부채,-,제 16 기 1분기말,41065541680,제 15 기말,40490557077,,,57,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_OtherLongtermProvisions,충당부채,-,제 16 기 1분기말,5187526659,제 15 기말,5152476819,,,58,KRW,,,,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,BS,재무상태표,ifrs-full_OtherNoncurrentLiabilities,기타비유동부채,-,제 16 기 1분기말,13038696284,제 15 기말,15371057562,,,59,KRW,,,,,326030,에스케이바이오팜,CFS
