rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,ticker,corp_name,fs_div
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_Assets,자산 총계,-,제 35 기,216289740318,제 34 기,219937922050,제 33 기,222741818404,7,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 35 기,151249570617,제 34 기,132738984079,제 33 기,112378071075,8,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,dart_ShortTermAccruedIncomeNet,미수수익,-,제 35 기,1878544367,제 34 기,3130970887,제 33 기,992453398,9,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,dart_ShortTermDepositsProvidedNet,유동성보증금,-,제 35 기,236621663,제 34 기,3900957,제 33 기,303131261,10,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,dart_ShortTermOtherReceivablesNet,미수금,-,제 35 기,9468740,제 34 기,140058291,제 33 기,123005121,11,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 35 기,9791752690,제 34 기,18663166065,제 33 기,17660302598,12,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 35 기,33593993847,제 34 기,40005571600,제 33 기,46436041056,13,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 35 기,2739189310,제 34 기,2795316279,제 33 기,2363137641,14,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 35 기,103000000000,제 34 기,68000000000,제 33 기,44500000000,15,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 35 기,65040169701,제 34 기,87198937971,제 33 기,110363747329,16,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 35 기,24002000000,제 34 기,33002000000,제 33 기,53002000000,17,KRW,,267850,아시아나IDT,OFS
20260317000731,11011,2025,00458234,BS,재무상태표,dart_LongTermDepositsProvidedNet,보증금,-,제 35 기,1539901722,제 34 기,1738839652,제 33 기,1481148411,18,KRW,,267850,아시아나IDT,OFS
