rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 51 기 3분기말,93536315430,제 50 기말,91015824632,7,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 51 기 3분기말,40096028064,제 50 기말,38656969988,8,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,dart_CurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 51 기 3분기말,0,제 50 기말,170000,9,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 51 기 3분기말,9187781953,제 50 기말,4976139035,10,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 51 기 3분기말,8383106,제 50 기말,280049800,11,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 51 기 3분기말,15429080742,제 50 기말,16569316539,12,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 51 기 3분기말,604816731,제 50 기말,417187143,13,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 51 기 3분기말,59818526,제 50 기말,2333544848,14,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 51 기 3분기말,14806147006,제 50 기말,14080562623,15,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 51 기 3분기말,53440287366,제 50 기말,52358854644,16,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 51 기 3분기말,1315366,제 50 기말,21360376,17,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,-,제 51 기 3분기말,2668968049,제 50 기말,1396940073,18,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 51 기 3분기말,1540117225,제 50 기말,1022534670,19,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 51 기 3분기말,10000000,제 50 기말,10000000,20,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 51 기 3분기말,2629421066,제 50 기말,2252535913,21,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 51 기 3분기말,1265945555,제 50 기말,1267457471,22,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 51 기 3분기말,0,제 50 기말,0,23,KRW,,,,,093380,풍강,CFS
20250715000239,11014,2025,00155373,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업투자주식,-,제 51 기 3분기말,1646414654,제 50 기말,1869899784,24,KRW,,,,,093380,풍강,CFS
