ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
SNDR,SNDR,"Schneider National, Inc. Common Stock",2025,10-Q,half,YF_TS,1420500000.0,132300000.0,55000000.0,36000000.0,4956400000.0,1943500000.0,3012900000.0,160700000.0,12900000.0,512700000.0,175500000.0,-53300000.0,-67700000.0,-86200000.0,0.2,
SNDR,SNDR,"Schneider National, Inc. Common Stock",2025,10-Q,q1,YF_TS,1401800000.0,116400000.0,42100000.0,26100000.0,4978500000.0,1990300000.0,2988200000.0,106200000.0,10900000.0,565800000.0,91700000.0,-126700000.0,23600000.0,-143800000.0,0.15,
SNDR,SNDR,"Schneider National, Inc. Common Stock",2025,10-Q,q3,YF_TS,1452400000.0,128400000.0,35300000.0,19400000.0,4979000000.0,1958000000.0,3021000000.0,194100000.0,12400000.0,509800000.0,184200000.0,-131500000.0,-19300000.0,-169000000.0,0.11,
SNDR,SNDR,"Schneider National, Inc. Common Stock",2026,10-Q,q1,YF_TS,1398500000.0,102800000.0,33400000.0,20400000.0,4923000000.0,1902600000.0,3020400000.0,227800000.0,10700000.0,388100000.0,92900000.0,-34800000.0,-31800000.0,-67900000.0,0.12,
