ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
TNON,TNON,"Tenon Medical, Inc. - Common Stock",2021,10-K,annual,YF_TS,,,,,,,,,13506000.0,,,,,,,
TNON,TNON,"Tenon Medical, Inc. - Common Stock",2022,10-K,annual,YF_TS,691000.0,-641000.0,-18725000.0,-18917000.0,11089000.0,4837000.0,6252000.0,2129000.0,,,-12025000.0,-2884000.0,14114000.0,-847000.0,-188.96,
TNON,TNON,"Tenon Medical, Inc. - Common Stock",2023,10-K,annual,YF_TS,2928000.0,1241000.0,-15727000.0,-15581000.0,6345000.0,5567000.0,778000.0,2428000.0,1173000.0,,-12183000.0,6142000.0,6302000.0,-361000.0,-68.72,
TNON,TNON,"Tenon Medical, Inc. - Common Stock",2024,10-K,annual,YF_TS,3277000.0,1711000.0,-13766000.0,-13673000.0,9843000.0,3872000.0,5971000.0,6535000.0,,,-9878000.0,-186000.0,14125000.0,-186000.0,-11.26,
TNON,TNON,"Tenon Medical, Inc. - Common Stock",2025,10-K,annual,YF_TS,3944000.0,2358000.0,-12792000.0,-12556000.0,10760000.0,5720000.0,5040000.0,3756000.0,,,-10745000.0,-1023000.0,8989000.0,-273000.0,-1.7,
