ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
ASPN,ASPN,"Aspen Aerogels, Inc. Common Stock",2025,10-Q,half,YF_TS,78024000.0,25316000.0,738000.0,-9056000.0,525132000.0,216364000.0,308768000.0,167622000.0,26000000.0,106254000.0,-3930000.0,-12885000.0,-7586000.0,-12885000.0,-0.11,
ASPN,ASPN,"Aspen Aerogels, Inc. Common Stock",2025,10-Q,q1,YF_TS,78723000.0,22812000.0,-2939000.0,-301249000.0,554976000.0,240142000.0,314834000.0,192039000.0,13500000.0,124372000.0,5632000.0,-12998000.0,-21477000.0,-12998000.0,-3.67,
ASPN,ASPN,"Aspen Aerogels, Inc. Common Stock",2025,10-Q,q3,YF_TS,73017000.0,20799000.0,-1780000.0,-6334000.0,491395000.0,185662000.0,305733000.0,150722000.0,26000000.0,84342000.0,15035000.0,-9102000.0,-21533000.0,-9102000.0,-0.08,
ASPN,ASPN,"Aspen Aerogels, Inc. Common Stock",2026,10-Q,q1,YF_TS,37884000.0,4276000.0,-20407000.0,-23691000.0,410476000.0,196979000.0,213497000.0,173870000.0,24231000.0,68305000.0,34145000.0,-1367000.0,-15765000.0,-1367000.0,-0.29,
