ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
HIMS,HIMS,"Hims & Hers Health, Inc. Class A Common Stock",2025,10-Q,half,YF_TS,544833000.0,416196000.0,26723000.0,42505000.0,1877582000.0,1314886000.0,562696000.0,1124582000.0,,969467000.0,-19117000.0,-21088000.0,889169000.0,-50315000.0,0.17,
HIMS,HIMS,"Hims & Hers Health, Inc. Class A Common Stock",2025,10-Q,q1,YF_TS,586010000.0,430689000.0,57897000.0,49485000.0,891711000.0,342450000.0,549261000.0,273736000.0,,,109090000.0,-32796000.0,-23018000.0,-59038000.0,0.2,
HIMS,HIMS,"Hims & Hers Health, Inc. Class A Common Stock",2025,10-Q,q3,YF_TS,598976000.0,442058000.0,11807000.0,15774000.0,2233304000.0,1652322000.0,580982000.0,345778000.0,,971023000.0,148721000.0,-887398000.0,-39009000.0,-69357000.0,0.06,
HIMS,HIMS,"Hims & Hers Health, Inc. Class A Common Stock",2026,10-Q,q1,YF_TS,608104000.0,396787000.0,-78323000.0,-92115000.0,2267043000.0,1820876000.0,446167000.0,222266000.0,,974106000.0,89356000.0,-15446000.0,-77880000.0,-36324000.0,-0.4,
