ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
ELS,ELS,"Equity Lifestyle Properties, Inc. Common Stock",2025,10-Q,half,YF_TS,372580000.0,185691000.0,111537000.0,79716000.0,5720883000.0,3907931000.0,1730814000.0,9908000.0,90000000.0,3157245000.0,131287000.0,-114552000.0,-31203000.0,-59457000.0,0.42,
ELS,ELS,"Equity Lifestyle Properties, Inc. Common Stock",2025,10-Q,q1,YF_TS,367523000.0,193192000.0,122912000.0,109192000.0,5642364000.0,3809099000.0,1749801000.0,26176000.0,63000000.0,3111748000.0,193390000.0,-42321000.0,-128169000.0,-45202000.0,0.57,
ELS,ELS,"Equity Lifestyle Properties, Inc. Common Stock",2025,10-Q,q3,YF_TS,373352000.0,181773000.0,109284000.0,97130000.0,5747181000.0,3935428000.0,1753259000.0,13191000.0,45000000.0,3232054000.0,147010000.0,-66847000.0,-73880000.0,-71274000.0,0.5,
ELS,ELS,"Equity Lifestyle Properties, Inc. Common Stock",2026,10-Q,q1,YF_TS,379561000.0,204150000.0,129253000.0,107904000.0,5748668000.0,3928379000.0,1761607000.0,18836000.0,89500000.0,3200919000.0,194232000.0,-44296000.0,-136832000.0,-45285000.0,0.56,
