ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
WTTR,WTTR,"Select Water Solutions, Inc. Class A common stock",2022,10-K,annual,YF_TS,1387420000.0,160755000.0,39611000.0,48278000.0,1222853000.0,339125000.0,765977000.0,7322000.0,,16000000.0,33231000.0,-53246000.0,-58451000.0,-71884000.0,0.5,
WTTR,WTTR,"Select Water Solutions, Inc. Class A common stock",2023,10-K,annual,YF_TS,1585353000.0,231662000.0,73838000.0,74403000.0,1218190000.0,326018000.0,772488000.0,57083000.0,,,285355000.0,-137168000.0,-98423000.0,-135866000.0,0.72,
WTTR,WTTR,"Select Water Solutions, Inc. Class A common stock",2024,10-K,annual,YF_TS,1452075000.0,219466000.0,56084000.0,30644000.0,1366282000.0,450748000.0,793520000.0,19978000.0,,85000000.0,234886000.0,-318623000.0,46641000.0,-173153000.0,0.3,
WTTR,WTTR,"Select Water Solutions, Inc. Class A common stock",2025,10-K,annual,YF_TS,1407344000.0,202398000.0,35761000.0,21223000.0,1595612000.0,668545000.0,805616000.0,18084000.0,31250000.0,285043000.0,214673000.0,-404962000.0,188389000.0,-294562000.0,0.21,
