ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
ZSTK,ZSTK,ZeroStack Corp. - Common Stock,2025,10-Q,half,YF_TS,14796000.0,2830000.0,-2307000.0,-2412000.0,22667000.0,18644000.0,4023000.0,1471000.0,2981000.0,1995000.0,-2955000.0,-1006000.0,1512000.0,-65000.0,-4.29,
ZSTK,ZSTK,ZeroStack Corp. - Common Stock,2025,10-Q,q1,YF_TS,6866000.0,535000.0,-1573000.0,-758000.0,22395000.0,17637000.0,4758000.0,3676000.0,2296000.0,2052000.0,-2661000.0,370000.0,0.0,-24000.0,-1.54,
ZSTK,ZSTK,ZeroStack Corp. - Common Stock,2025,10-Q,q3,YF_TS,9748000.0,335000.0,-3276000.0,-6659000.0,74016000.0,9096000.0,64920000.0,13100000.0,2697000.0,64000.0,100000.0,1283000.0,10555000.0,-9000.0,-9.05,
ZSTK,ZSTK,ZeroStack Corp. - Common Stock,2026,10-Q,q1,YF_TS,7274000.0,3146000.0,-1911000.0,-36660000.0,45190000.0,8393000.0,36797000.0,1978000.0,3119000.0,38000.0,-3847000.0,0.0,571000.0,,-3.68,
