ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
OSIS,OSIS,"OSI Systems, Inc. - Common Stock",2022,10-K,annual,YF_TS,1183236000.0,424427000.0,129291000.0,115347000.0,1443150000.0,804726000.0,638424000.0,64202000.0,304575000.0,48668000.0,63808000.0,-12674000.0,-64008000.0,-30487000.0,6.45,
OSIS,OSIS,"OSI Systems, Inc. - Common Stock",2023,10-K,annual,YF_TS,1278427000.0,430510000.0,142845000.0,91778000.0,1555686000.0,829521000.0,726165000.0,76750000.0,223076000.0,136491000.0,94812000.0,-40461000.0,-37175000.0,-32254000.0,5.34,
OSIS,OSIS,"OSI Systems, Inc. - Common Stock",2024,10-K,annual,YF_TS,1538758000.0,530458000.0,195452000.0,128154000.0,1936008000.0,1072525000.0,863483000.0,95353000.0,392167000.0,129383000.0,-87501000.0,-37639000.0,144250000.0,-39432000.0,7.38,
OSIS,OSIS,"OSI Systems, Inc. - Common Stock",2025,10-K,annual,YF_TS,1713166000.0,587182000.0,222859000.0,149637000.0,2241257000.0,1290173000.0,951084000.0,106405000.0,186130000.0,463504000.0,97592000.0,-117851000.0,30822000.0,-41497000.0,8.71,
