ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
ALK,ALK,"Alaska Air Group, Inc. Common Stock",2022,10-K,annual,YF_TS,9646000000.0,1662000000.0,650000000.0,58000000.0,14186000000.0,10370000000.0,3816000000.0,338000000.0,276000000.0,1883000000.0,1418000000.0,-1218000000.0,-325000000.0,-1671000000.0,0.45,
ALK,ALK,"Alaska Air Group, Inc. Common Stock",2023,10-K,annual,YF_TS,10426000000.0,1869000000.0,837000000.0,235000000.0,14613000000.0,10500000000.0,4113000000.0,281000000.0,289000000.0,2182000000.0,1050000000.0,-964000000.0,-147000000.0,-1494000000.0,1.83,
ALK,ALK,"Alaska Air Group, Inc. Common Stock",2024,10-K,annual,YF_TS,11735000000.0,2118000000.0,915000000.0,395000000.0,19768000000.0,15396000000.0,4372000000.0,1201000000.0,450000000.0,4538000000.0,1464000000.0,-634000000.0,119000000.0,-1281000000.0,3.08,
ALK,ALK,"Alaska Air Group, Inc. Common Stock",2025,10-K,annual,YF_TS,14239000000.0,2018000000.0,553000000.0,100000000.0,20361000000.0,16243000000.0,4118000000.0,627000000.0,721000000.0,4834000000.0,1249000000.0,-1623000000.0,-199000000.0,-1588000000.0,0.83,
