ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
FLUT,FLUT,Flutter Entertainment plc Ordinary Shares,2022,10-K,annual,YF_TS,9463000000.0,4650000000.0,-88000000.0,-369000000.0,25258000000.0,13138000000.0,11035000000.0,2974000000.0,43000000.0,6707000000.0,1163000000.0,-2517000000.0,1783000000.0,-429000000.0,-2.067021,
FLUT,FLUT,Flutter Entertainment plc Ordinary Shares,2023,10-K,annual,YF_TS,11790000000.0,5588000000.0,-549000000.0,-1224000000.0,24635000000.0,13267000000.0,10044000000.0,3249000000.0,51000000.0,7005000000.0,937000000.0,-602000000.0,-113000000.0,-602000000.0,-5.644,
FLUT,FLUT,Flutter Entertainment plc Ordinary Shares,2024,10-K,annual,YF_TS,14048000000.0,6702000000.0,869000000.0,109000000.0,24508000000.0,13241000000.0,9293000000.0,3461000000.0,53000000.0,6683000000.0,1602000000.0,-811000000.0,-469000000.0,-661000000.0,0.24,
FLUT,FLUT,Flutter Entertainment plc Ordinary Shares,2025,10-K,annual,YF_TS,16383000000.0,7404000000.0,553000000.0,-380000000.0,29280000000.0,19582000000.0,9038000000.0,3760000000.0,109000000.0,12157000000.0,1184000000.0,-3481000000.0,2428000000.0,-777000000.0,-1.75,
