ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
DLTH,DLTH,Duluth Holdings Inc. - Class B Common Stock,2025,10-Q,half,YF_TS,102704000.0,53355000.0,-11803000.0,-15293000.0,463705000.0,298812000.0,167861000.0,8579000.0,64953000.0,24054000.0,-56463000.0,-1279000.0,62986000.0,-1332000.0,-0.45,
DLTH,DLTH,Duluth Holdings Inc. - Class B Common Stock,2025,10-Q,q3,YF_TS,131716000.0,72019000.0,3252000.0,1261000.0,433800000.0,266742000.0,169994000.0,5738000.0,33432000.0,23821000.0,32027000.0,-2186000.0,-32682000.0,-2240000.0,0.04,
DLTH,DLTH,Duluth Holdings Inc. - Class B Common Stock,2026,10-Q,half,YF_TS,98594000.0,56634000.0,-5168000.0,-10101000.0,380650000.0,224080000.0,159375000.0,6134000.0,7052000.0,23085000.0,-13418000.0,-1721000.0,4928000.0,-1779000.0,-0.29,
DLTH,DLTH,Duluth Holdings Inc. - Class B Common Stock,2026,10-Q,q1,YF_TS,215893000.0,114394000.0,9002000.0,7745000.0,402609000.0,236494000.0,168973000.0,16345000.0,1020000.0,23337000.0,55287000.0,-1708000.0,-45406000.0,-1766000.0,0.22,
