ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,714928.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,168710028.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,173689804.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,0.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,1543566.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,223698.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,9144979.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,27347951.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,1543566.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,223698.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-0.796578
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,-2034796.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,159565049.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,146341853.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-0.6
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-13223196.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,0.0
DYNC,DYNC,Dynamix Corporation - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-5407466.0
