ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,eps,bps
000020,00119195,동화약품,2021,11011,annual,CFS,293018112028.0,149346987737.0,22496350976.0,17870404587.0,447804486939.0,87671267145.0,360133219794.0,60479642642.0,4500000000.0,3459527820.0,36031211868.0,-25413867820.0,-8782890261.0,21944074476.0,647.0,12893.457444022815
000020,00119195,동화약품,2021,11012,half,CFS,75802350156.0,38413393015.0,7199614803.0,6266395095.0,447079558613.0,95998588018.0,351080970595.0,38931149388.0,4500000000.0,3450903496.0,15187860330.0,-27015227910.0,-7896476819.0,7725589293.0,227.0,12569.369624835355
000020,00119195,동화약품,2021,11013,q1,CFS,71827235183.0,35840810106.0,5119344079.0,5446688490.0,437269331796.0,96065587674.0,341203744122.0,58906163444.0,6000000000.0,3000000000.0,8890820191.0,-2272729898.0,-6343137529.0,-8909091.0,197.0,12215.746042796887
000020,00119195,동화약품,2021,11014,q3,CFS,69071143577.0,34251920184.0,3664566950.0,447147565.0,447872640938.0,94732386943.0,353140253995.0,40791571607.0,4500000000.0,3455215658.0,19974769180.0,-29390825096.0,-8459498141.0,17564518140.0,16.0,12643.095905621867
000020,00119195,동화약품,2022,11011,annual,CFS,340426327300.0,180990260022.0,29915077882.0,20383458973.0,461136459052.0,82463208091.0,378673250961.0,34347103567.0,2500000000.0,477127738.0,29220766689.0,-43272030338.0,-12013033236.0,18428354893.0,736.0,13557.225987783671
000020,00119195,동화약품,2022,11012,half,CFS,87218159367.0,46801817576.0,10093493075.0,6015967748.0,463911709950.0,98664107767.0,365247602183.0,48510402247.0,4500000000.0,3468173100.0,21366549162.0,-27481717177.0,-6001506188.0,7700673000.0,217.0,13076.562106577276
000020,00119195,동화약품,2022,11013,q1,CFS,85294133984.0,44662204360.0,9053120555.0,5236777084.0,459969628027.0,99736518488.0,360233109539.0,74985003121.0,4500000000.0,3463746239.0,16572325748.0,3139716763.0,-5309831657.0,5566005335.0,189.0,12897.033687772251
000020,00119195,동화약품,2022,11014,q3,CFS,83455522549.0,43625236085.0,7419262990.0,5944205545.0,468461634744.0,96458753911.0,372002880833.0,48320232120.0,3500000000.0,472650419.0,28363086870.0,-30369056560.0,-10613298943.0,15006970000.0,215.0,13318.413990849747
000020,00119195,동화약품,2023,11011,annual,CFS,361108562008.0,190415846084.0,18775880121.0,27438289761.0,564972408621.0,157916042874.0,17756625267.0,72317114790.0,14669995458.0,16127680000.0,29166607898.0,2862951565.0,5865503201.0,24540642551.0,991.0,635.7211155374207
000020,00119195,동화약품,2023,11012,half,CFS,89990356416.0,46179337227.0,5464701378.0,7508301782.0,481755692825.0,87167877184.0,394587815641.0,81003948528.0,986079346.0,0.0,22051523613.0,32802297966.0,-8417342393.0,11566513985.0,271.0,14126.997814329145
000020,00119195,동화약품,2023,11013,q1,CFS,99419813769.0,52623162792.0,12182552140.0,12538208210.0,476990263754.0,90032643620.0,386957620134.0,52953171946.0,500000000.0,481507724.0,13292863125.0,12845528829.0,-7698654830.0,5216180379.0,453.0,13853.822234705156
000020,00119195,동화약품,2023,11014,q3,CFS,87457408861.0,45025708308.0,2694847894.0,5922101450.0,490151115466.0,89415897919.0,27972117388.0,94663757977.0,490702812.0,0.0,35610710360.0,34201844940.0,-9647162236.0,17811237233.0,214.0,1001.4552541631356
000020,00119195,동화약품,2024,11011,annual,CFS,464874735245.0,214257761150.0,13411192945.0,5563245459.0,619634925512.0,217959805338.0,17756625267.0,25656452043.0,31330366931.0,,-4003243920.0,-74788903189.0,31356161210.0,36685291627.0,201.0,635.7211155374207
000020,00119195,동화약품,2024,11012,half,CFS,115162146532.0,53949800612.0,4613224826.0,3522665790.0,558708931902.0,149648894515.0,17756625267.0,42149012685.0,6418265970.0,16000000000.0,5799827584.0,-20323059353.0,-15990349121.0,14278352615.0,127.0,635.7211155374207
000020,00119195,동화약품,2024,11013,q1,CFS,118885750294.0,54943916459.0,6538005157.0,2987914941.0,558127814582.0,153040319534.0,17756625267.0,60605290588.0,499899489.0,16000000000.0,14501627041.0,-5662428931.0,-20953829406.0,4594234298.0,108.0,635.7211155374207
000020,00119195,동화약품,2024,11014,q3,CFS,110193352389.0,50503024915.0,-582474956.0,-307553145.0,587105306136.0,182337749048.0,17756625267.0,22156915345.0,23121901057.0,,-2502776310.0,-65283149472.0,17536165886.0,25759136086.0,-11.0,635.7211155374207
000020,00119195,동화약품,2025,11011,annual,CFS,496394309778.0,218547384885.0,256752681.0,3842369985.0,642168098413.0,240728435023.0,401439663390.0,13305439070.0,87875480771.0,14349000000.0,15698716578.0,-41180106757.0,13398935699.0,53174370624.0,313.0,14372.307056878852
000020,00119195,동화약품,2025,11012,half,CFS,125024623356.0,56499416252.0,614122813.0,6133884669.0,642563954103.0,240684303154.0,401879650949.0,16609931862.0,32462479388.0,52364000000.0,7371846324.0,-18956352137.0,3076430996.0,29390329370.0,261.0,14388.059452259406
000020,00119195,동화약품,2025,11013,q1,CFS,125674434732.0,54946389225.0,2269124391.0,-800079071.0,625144182384.0,228101166692.0,397043015692.0,18970968642.0,34627888232.0,44465000000.0,2806438135.0,-10883390468.0,1399985914.0,13155751103.0,1.0,14214.898667775096
000020,00119195,동화약품,2025,11014,q3,CFS,121998971337.0,54970500468.0,1369908515.0,241627821.0,654628450174.0,252514979454.0,402113470720.0,11697668337.0,49599036903.0,52822000000.0,6001097821.0,-37337946434.0,17731187720.0,46702194863.0,35.0,14396.430646865345
000020,00119195,동화약품,2026,11013,q1,CFS,130614028759.0,59810395061.0,11228385578.0,9652711394.0,647922406867.0,238274283145.0,409648123722.0,10504550266.0,90336834487.0,15134000000.0,697019700.0,-3778863898.0,154474460.0,3605830615.0,361.0,14666.185622239002
000040,00112378,KR모터스,2021,11011,annual,CFS,133510437922.0,17682644778.0,-2697618022.0,-9468293967.0,168436811482.0,118211175186.0,50225636296.0,20055956538.0,8515332622.0,0.0,-10038255574.0,-3032515581.0,4237989570.0,,-99.0,581.4822495313006
000040,00112378,KR모터스,2021,11012,half,CFS,37992143662.0,6502276808.0,1339663853.0,-1846462358.0,175866324911.0,123434535819.0,52431789092.0,27676707860.0,8023433508.0,207998790.0,425759047.0,-2915871087.0,1440836758.0,,-19.0,607.023761500757
000040,00112378,KR모터스,2021,11013,q1,CFS,22700113685.0,3471279368.0,-894817785.0,-1386757281.0,167929038190.0,114107898773.0,53821139417.0,23651967663.0,6484429488.0,209510298.0,-3817541078.0,-386438618.0,-494530522.0,,-15.0,623.1088250648473
000040,00112378,KR모터스,2021,11014,q3,CFS,34504672071.0,5488224188.0,-229499897.0,-1661966052.0,181463408997.0,130169681961.0,51293727036.0,25072732860.0,9380692243.0,206462360.0,-3619512091.0,-3384072501.0,2406671496.0,,-17.0,593.8479625814748
000040,00112378,KR모터스,2022,11011,annual,CFS,117058740510.0,17030523907.0,-6234392973.0,-6681068756.0,149185245583.0,109161230426.0,40024015157.0,12965071951.0,13372176067.0,0.0,-2410237322.0,-6815670876.0,1705982574.0,,-69.0,463.3740074811302
000040,00112378,KR모터스,2022,11012,half,CFS,30082327127.0,4208759564.0,-821480097.0,414197991.0,164020667207.0,116135259921.0,47885407286.0,16821676790.0,9669783610.0,0.0,-2565599901.0,-939076953.0,-503670109.0,,4.0,554.3884836876296
000040,00112378,KR모터스,2022,11013,q1,CFS,29150539327.0,3891253572.0,-1352668157.0,-2230595631.0,165200354112.0,117816657885.0,47383696227.0,17293455550.0,8696204433.0,0.0,-2355683515.0,-479354731.0,-411810088.0,,-23.0,548.5799743940343
000040,00112378,KR모터스,2022,11014,q3,CFS,30920480093.0,4765147166.0,-1336627148.0,-3408666510.0,171047243115.0,127069477528.0,43977765587.0,20480935649.0,12147625919.0,0.0,-786900205.0,-1216723869.0,638854278.0,,-35.0,509.1481551807751
000040,00112378,KR모터스,2023,11011,annual,CFS,78406266627.0,4767242404.0,-17856852211.0,-15910141085.0,138570416599.0,116165786012.0,7864305935.0,13054599621.0,24469773961.0,0.0,-8763355053.0,472931896.0,8419156606.0,1015454384.0,-165.0,91.04821050222016
000040,00112378,KR모터스,2023,11012,half,CFS,25090921178.0,2233234836.0,-3868434815.0,-5413681785.0,157709001687.0,130541441350.0,27167560337.0,14461510320.0,22166479712.0,543150000.0,-5749940834.0,-393293737.0,7672805529.0,,-56.0,314.52969567046017
000040,00112378,KR모터스,2023,11013,q1,CFS,16633515826.0,1218235478.0,-2883785150.0,-4136275089.0,144000047294.0,109034719505.0,34965327789.0,10182102612.0,15707159896.0,0.0,-4017919572.0,-408956287.0,1236989506.0,,-43.0,404.8075635821511
000040,00112378,KR모터스,2023,11014,q3,CFS,19095838508.0,1358804672.0,-3168819211.0,-6378600559.0,154436295585.0,134926480441.0,7864035935.0,15840140868.0,24387492786.0,552810000.0,-4591183570.0,-1561723121.0,8843749641.0,,-66.0,91.04508460439284
000040,00112378,KR모터스,2024,11011,annual,CFS,16024969823.0,-258143525.0,-4937030424.0,-11371655937.0,85272527872.0,52629712095.0,-7539834783.0,3940968061.0,23205200000.0,,-5153969934.0,-9909981605.0,5950319979.0,47636910.0,0.0,-87.29167839457222
000040,00112378,KR모터스,2024,11012,half,CFS,20540828937.0,1225311928.0,-3381874776.0,-464877859.0,153780039486.0,120490137119.0,15022825935.0,12130684012.0,26897259000.0,0.0,-4994995926.0,-21437563410.0,24924615474.0,36777705.0,-10.0,173.92525537195962
