ticker,name,exchange,sector,industry,market_cap,shares_outstanding,listing_date
008470,부스타,KOSDAQ,,벤처기업부,17439960000,8404800,
008830,대동기어,KOSDAQ,,중견기업부,67676025600,8987520,
009300,삼아제약,KOSDAQ,,우량기업부,79497600000,6370000,
009620,삼보산업,KOSDAQ,,투자주의환기종목(소속부없음),14240534120,17473048,
009730,이렘,KOSDAQ,,투자주의환기종목(소속부없음),15496402329,7975503,
009780,엠에스씨,KOSDAQ,,우량기업부,109472000000,17600000,
010170,대한광통신,KOSDAQ,,중견기업부,1876711916200,155485660,
010240,흥국,KOSDAQ,,우량기업부,64383000000,11706000,
010280,아이티센엔텍,KOSDAQ,,우량기업부,64472547150,13024757,
010470,오리콤,KOSDAQ,,우량기업부,56881487500,11975050,
011040,경동제약,KOSDAQ,,중견기업부,152151547870,30768766,
011080,형지I&C,KOSDAQ,,관리종목(소속부없음),6585331136,7096262,
011320,유니크,KOSDAQ,,우량기업부,72549209725,19320695,
011370,서한,KOSDAQ,,우량기업부,79202469025,100894865,
011560,세보엠이씨,KOSDAQ,,우량기업부,212790799200,10084872,
012210,삼미금속,KOSDAQ,,중견기업부,154215063510,23051579,
012340,뉴인텍,KOSDAQ,,투자주의환기종목(소속부없음),20215075181,22044793,
012620,원일특강,KOSDAQ,,우량기업부,30404000000,4400000,
012700,리드코프,KOSDAQ,,우량기업부,79370401560,26194852,
012790,신일제약,KOSDAQ,,우량기업부,63048542900,11986415,
012860,모베이스전자,KOSDAQ,,우량기업부,179421969650,73233457,
013030,하이록코리아,KOSDAQ,,우량기업부,388937159200,11768144,
013120,동원개발,KOSDAQ,,우량기업부,194783374500,90808100,
013310,아진산업,KOSDAQ,,우량기업부,104001639760,38806582,
013720,청보,KOSDAQ,,중견기업부,27920116260,12165628,
013810,스페코,KOSDAQ,,중견기업부,23888416100,14655470,
013990,아가방컴퍼니,KOSDAQ,,우량기업부,154078106160,32887536,
014100,메디앙스,KOSDAQ,,중견기업부,22101400000,11800000,
014190,원익큐브,KOSDAQ,,우량기업부,42934221123,35395071,
014470,부방,KOSDAQ,,벤처기업부,59992207740,60052260,
014570,고려제약,KOSDAQ,,중견기업부,37070000000,11000000,
014940,오리엔탈정공,KOSDAQ,,우량기업부,221032255850,45573661,
014950,삼익제약,KOSDAQ,,벤처기업부,53861595800,10067588,
014970,삼륭물산,KOSDAQ,,중견기업부,63895750000,14825000,
015710,코콤,KOSDAQ,,우량기업부,46280520000,17530500,
015750,성우하이텍,KOSDAQ,,우량기업부,480000000000,80000000,
016100,리더스코스메틱,KOSDAQ,,중견기업부,20189644958,19100894,
016250,SGC E&C,KOSDAQ,,중견기업부,57925339000,5036986,
016600,큐캐피탈,KOSDAQ,,중견기업부,31413602250,13961601,
016670,디모아,KOSDAQ,,중견기업부,26046267870,10194234,
016790,현대사료,KOSDAQ,,관리종목(소속부없음),187340898626,188471729,
016920,카스,KOSDAQ,,중견기업부,27659253672,26493538,
017000,신원종합개발,KOSDAQ,,우량기업부,26778121965,11668027,
017250,인터엠,KOSDAQ,,중견기업부,20119466452,21045467,
017480,삼현철강,KOSDAQ,,우량기업부,73353727500,15442890,
017510,세명전기,KOSDAQ,,벤처기업부,112972860000,15246000,
017650,대림제지,KOSDAQ,,우량기업부,86268700000,8785000,
017890,한국알콜,KOSDAQ,,우량기업부,278678860880,20673506,
018000,유니슨,KOSDAQ,,중견기업부,221871032820,259498284,
018120,진로발효,KOSDAQ,,우량기업부,110241648000,6621120,
018290,브이티,KOSDAQ,,우량기업부,459135751320,34941838,
018310,삼목에스폼,KOSDAQ,,우량기업부,205653000000,14700000,
018620,우진비앤지,KOSDAQ,,벤처기업부,18337737390,6932982,
018680,서울제약,KOSDAQ,,벤처기업부,23283660043,11659319,
018700,졸스,KOSDAQ,,투자주의환기종목(소속부없음),16611645534,11706586,
019010,베뉴지,KOSDAQ,,중견기업부,185088000000,48200000,
019210,와이지-원,KOSDAQ,,우량기업부,702589521920,37193728,
019540,일지테크,KOSDAQ,,우량기업부,89324235000,13513500,
019550,SBI인베스트먼트,KOSDAQ,,중견기업부,81357420148,81033287,
019570,GMI벤처,KOSDAQ,,중견기업부,24005685060,9545004,
019660,글로본,KOSDAQ,,중견기업부,21543994485,13944333,
019770,서연탑메탈,KOSDAQ,,우량기업부,39726500000,11650000,
019990,에너토크,KOSDAQ,,중견기업부,47512148560,9756088,
020180,대신정보통신,KOSDAQ,,중견기업부,32126572940,38428915,
020400,대동금속,KOSDAQ,,중견기업부,18273921180,6378332,
020710,시공테크,KOSDAQ,,우량기업부,74678688250,20047970,
021040,대호특수강,KOSDAQ,,중견기업부,18709515188,21704774,
021045,대호특수강우,KOSDAQ,,중견기업부,2044865720,848492,
021080,에이티넘인베스트,KOSDAQ,,우량기업부,112320000000,48000000,
021320,KCC건설,KOSDAQ,,우량기업부,119412000000,21400000,
021650,한국큐빅,KOSDAQ,,중견기업부,32701126000,16350563,
021880,메이슨캐피탈,KOSDAQ,,중견기업부,25716749280,21218440,
022220,티케이지애강,KOSDAQ,,중견기업부,35013135404,51794579,
023410,유진기업,KOSDAQ,,중견기업부,259377945365,77310863,
023440,제이스코홀딩스,KOSDAQ,,관리종목(소속부없음),46964378481,90142761,
023600,삼보판지,KOSDAQ,,우량기업부,137831463000,16008300,
023760,한국캐피탈,KOSDAQ,,우량기업부,211458415920,315609576,
023770,플레이위드,KOSDAQ,,중견기업부,22232040075,8946495,
023790,동일스틸럭스,KOSDAQ,,중견기업부,20075225088,13069808,
023900,풍국주정,KOSDAQ,,우량기업부,92484000000,12600000,
023910,대한약품,KOSDAQ,,우량기업부,158400000000,6000000,
024060,흥구석유,KOSDAQ,,중견기업부,153450000000,15000000,
024120,KB오토시스,KOSDAQ,,중견기업부,34902500000,11500000,
024740,한일단조,KOSDAQ,,우량기업부,69741743880,32897049,
024800,유성티엔에스,KOSDAQ,,우량기업부,150412329900,35225370,
024830,세원물산,KOSDAQ,,중견기업부,73229500000,8350000,
024840,KBI메탈,KOSDAQ,,중견기업부,215152041680,43159888,
024850,HLB이노베이션,KOSDAQ,,중견기업부,346113629600,31753544,
024880,케이피에프,KOSDAQ,,우량기업부,76775252400,19941624,
024910,경창산업,KOSDAQ,,중견기업부,50540616055,35819005,
024940,PN풍년,KOSDAQ,,벤처기업부,19620000000,10000000,
024950,삼천리자전거,KOSDAQ,,중견기업부,47492000000,12400000,
025320,시노펙스,KOSDAQ,,우량기업부,360355191230,92162453,
025440,DH오토웨어,KOSDAQ,,투자주의환기종목(소속부없음),33707823020,9756244,
025550,한국선재,KOSDAQ,,중견기업부,56385948840,25514004,
025770,한국정보통신,KOSDAQ,,우량기업부,302549709680,37444271,
