corp_code,corp_name,corp_eng_name,ticker,modify_date
00830377,성융광전투자유한공사,SHENGLONG PV-TECH INVESTMENT CO. LIMITED,900150,20170630
00224567,샤인시스템,"SHINE SYSTEM CO., LTD.",066300,20170630
00582054,씨모텍,"C-motechCo.,LTD.",081090,20170630
00125929,에스컴,S Com Inc.,014900,20170630
00502793,아시아퍼시픽1호선박투자회사,AsiaPacificNo.1,080180,20170630
00505550,아시아퍼시픽3호선박투자회사,"ASIA PACIFIC NO. 3 SHIP INVESTMENT CO.,LTD.",081200,20170630
00104704,한국저축은행,KOREA SAVINGS BANK,025610,20170630
00361035,미리넷,"Millinet Co., Ltd.",056710,20170630
00630111,3노드디지탈그룹유한공사,"3NODDigitalGroupCo.,Ltd.",900010,20170630
00264802,유일엔시스,YOUILENSYS Corporation,038720,20170630
00399773,케이피케미칼,KP CHEMICAL CORP,064420,20170630
00257529,이루넷,"Iroonet,Inc.",041030,20170630
00804114,대신증권그로쓰알파기업인수목적,DAISHIN SECURITIES GROWTH ALPHA SPAC,123550,20170630
00416706,유에이블,"UABLE CO.,LTD.",071530,20170630
00173324,경윤하이드로에너지,"KyungYoon Hydro Energy CO.,LTD.",019120,20170630
00121729,롯데미도파,"LOTTE MIDOPA CO.,LTD",004010,20170630
00808226,한화에스브이명장제1호기업인수목적,Hanwha SV Meister 1st SPAC,124050,20170630
00162577,셀텍,"Cell Tech Co., LTD.",019260,20170630
00812229,에스비아이앤솔로몬드림기업인수목적,SBI and Solomon DREAM SPAC,123910,20170630
00351153,위다스,"Withus Co., Ltd.",056810,20170630
00126885,에스와이코퍼레이션,"SY Corporation Co., Ltd",008080,20170630
00264741,어울림네트웍스,"OULLIM NETWORKS, INC.",042820,20170630
00266989,에이디모터스,"AD Motors Co., Ltd.",038120,20170630
00260693,평안물산,"Pyeong Ahn Trading, Inc.",037240,20170630
00267951,아큐텍,"ACQUTEK CO.,LTD",013780,20170630
00804983,히든챔피언제1호기업인수목적,HiddenChampion 1st Special Purpose Acquisition Company,123160,20170630
00502474,동북아2호선박투자회사,DongbukaNo.2ShipInv,080030,20170630
00579379,금강제강,"KumKangsteel Co.,LTD",105070,20170630
00264857,아라온테크,"Araontech Co., Ltd.",041060,20170630
00375302,우리금융지주,"WooriFinance Holdings Co.,Ltd.",053000,20170630
00264848,대국,Daekuk Corporation,042340,20170630
00251190,글로웍스,"Gloworks Co.,Ltd.",034600,20170630
00694003,중국식품포장유한공사,"CHINA FOOD PACKAGING INC.,LTD",900060,20170630
00505170,동북아3호선박투자회사,Dongbuka  No.3 Ship Investment Company Co.Ltd,080960,20170630
00259439,지아이바이오,"GIBIO Co., Ltd.",035450,20170630
00207436,알에스넷,"R&S Networks Co., Ltd.",046430,20170630
00408585,나이스메탈,"Nice Metal Co.,LTD",072530,20170630
00115038,하나IB증권,Hana Investment Banking & Securities Inc.,003330,20170630
00288653,퓨쳐비젼,"FUTURE VISION CO.,LTD",042570,20170630
00303837,이레전자산업,"E-RAE Electronics Industry Co., Ltd.",045310,20170630
00330017,레이더스컴퍼니,"Raiders Company Co., Ltd.",047420,20170630
00264769,포이보스,"POIBOS CO., LTD",038810,20170630
00308948,미디어코프,"MEDIAcorp, INC.",053890,20170630
00321222,케이디세코,"K-D'seco Co., Ltd.",073780,20170630
00361202,이노블루,"InnoBlue Co.,Ltd.",066200,20170630
00450728,도움,"DOMCO.,LTD.",078610,20170630
00535773,엑스씨이,"eXtendedComputingEnvironmentCO.,LTD.",081500,20170630
00152950,코오롱유화,"KOLON CHEMICAL CO.,LTD",011020,20170630
00296069,세라온홀딩스,"SERAONHOLDINGS CO.,LTD",050600,20170630
00521956,현대경매부동산일호투자회사,HYUNDAI AUCTION REAL ESTATE FUND 1ST,083160,20170630
00360540,우수씨엔에스,"WOOSU CNS CO., LTD.",060550,20170630
00593519,동북아31호선박투자회사,Dongbuka No. 31 Ship Investment Company,093730,20170630
00194372,후야인포넷,"HOOYA INFONET CO., LTD.",032050,20170630
00154693,이레아이엔씨,"Erae I&C co.,Ltd",036900,20170630
00106650,카스코,"KOREA AUTOMOTIVE SYSTEMS CO.,LTD",005330,20170630
00368791,모델라인,"ModelLine Co.,  Ltd.",064720,20170630
00220552,청람디지탈,"CHUNG LAM DIGITAL CO.,LTD",035270,20170630
00294371,한텔,Hantel Co. Ltd,041940,20170630
00353683,코스모스피엘씨,"Cosmos PLC Co., Ltd.",053170,20170630
00252375,나노하이텍,"NANO HITEC ELECTRONIC CO.,LTD.",071360,20170630
00260903,쓰리소프트,3SOFT. Inc.,036360,20170630
00261461,트라이콤,TRICOMINC.,038410,20170630
00265218,케이엔에스홀딩스,KNS HOLDINGS INC.,036760,20170630
00471989,지비에스,"GBS Co., Ltd.",076170,20170630
00306986,피더블유제네틱스,"PWGenetics Co., Ltd.",065910,20170630
00356644,엠텍반도체,"Mtek Semicon CO.,LTD",054440,20170630
00305695,세니콘,"CENICONE CO., LTD",056060,20170630
00257051,유씨아이콜스,UC IndustryCommunityOnLineServices Inc.,065810,20170630
00459589,코크렙제3호CR리츠,KOCREF CR-REITIII,073530,20170630
00366164,아이티센네트웍스,"ITCEN NETWORKS CO., LTD.",057110,20170630
00436728,리얼티코리아제1호기업구조조정부동산투자,"REALTY KOREA CR REIT CO.,LTD",072450,20170630
00136235,BHK,BHK Inc.,003990,20170630
00328854,포넷,"FONET Co., Ltd.",048270,20170630
00120960,맥슨텔레콤,"MAXON TELECOM CO.,LTD",009890,20170630
00119733,엔토리노,nTorino Corporation Inc.,032590,20170630
00119423,두림티앤씨,"DOORIM T&C CO., LTD.",033330,20170630
00557067,동북아27호선박투자회사,Dongbuka No. 27 Ship Investment Company,089170,20170630
00557058,동북아28호선박투자회사,Dongbuka No. 28 Ship Investment Company,089180,20170630
00557030,동북아30호선박투자회사,Dongbuka No. 30 Ship Investment Company,089200,20170630
00557049,동북아29호선박투자회사,Dongbuka No. 29 Ship Investment Company,089190,20170630
00244330,현주컴퓨터,HYUNJU COMPUTER CO. LTD,038960,20170630
00120100,LG석유화학,"LG PETROCHEMICAL CO.,LTD",012990,20170630
00246657,오브제,"OBZEE CO., LTD",058680,20170630
00130037,휴닉스,HUNIX INC.,009790,20170630
00405074,세이프아시아,"Safe Asia Co., Ltd.",066330,20170630
00398534,코크렙제1호기업구조조정부동산투자회사,KOCREF CR-REIT1,067910,20170630
00165200,위너스인프라인,Winners Infraline Corporation,005760,20170630
00150183,AP우주통신,"Asia Pacific Space Telecom Co., Ltd",015670,20170630
00268482,조이토토,"Joytoto Co., Ltd",044370,20170630
00363033,한도하이테크,"HANDO HI-TECH CO., LTD.",060660,20170630
00364227,에너윈,"ENERWIN Co.,Ltd.",055970,20170630
00458915,유레스메리츠제1호,UresMeritz1stCR-REIT,073470,20170630
00386876,교보메리츠퍼스트기업구조조정부동산투자회사,KYOBO-MERITZ FIRST CR-REIT,064900,20170630
00543073,굿앤리치부동산공경매투자회사1호,GOOD&RICH REAL ESTATE AUCTION FUND[1],085450,20170630
00160445,한국합섬,HANKOOK SYNTHETICS INC,025830,20170630
00554468,굿앤리치부동산공경매투자회사2호,Good&Rich real estate auction fund[2],088510,20170630
00165565,디에스피이엔티,"DSP Ent Co., Ltd.",016040,20170630
00300256,시큐어소프트,SecureSoft Inc.,037060,20170630
00138491,동부일렉트로닉스,"DONGBUELECTRONICS CO.,LTD",001830,20170630
00102821,고려시멘트,"KOREA CEMENT co., Ltd",003660,20170630
00377814,베스트플로우,BestFlow Inc.,060410,20170630
00364670,쿨투,CUL 2 Inc.,056020,20170630
00143013,우영,Wooyoung,012460,20170630
00263991,모빌링크텔레콤,"Mobilink Telecom Co., Ltd.",041310,20170630
00105183,극동제혁,"KEUKDONG TANNING CO.,LTD",010200,20170630
00173254,한마음상호저축은행,HANMAUM MUTUAL SAVINGS BANK,025450,20170630
00101637,그로웰전자,"Growell Electronics, Inc.",009220,20170630
00124513,부흥,"BOOHUNG CO.,LTD",003930,20170630
00154417,퍼시픽글라스,"Pacificglas, Inc",009080,20170630
00119362,아이인프라,"iINFRA.Co.,Ltd",008780,20170630
00140353,씨크롭,"CECROP CO.,LTD",016970,20170630
00170451,외환신용카드,"Korea Exchange Bank Credit Service Co., Ltd.",038400,20170630
00267793,삼화기연,"Samwha Engineering Co., Ltd",033210,20170630
00260639,대흥멀티미디어통신,daeheung multimedia communication corp,037250,20170630
00153852,텔슨정보통신,TelsonInformation&Communication,018180,20170630
00248956,비이티,"BET CO., LTD.",036820,20170630
00390028,코오롱인터내셔널,KOLON INTERNATIONAL CORP.,063510,20170630
00260888,엔써커뮤니티,N'ser community Inc.,037750,20170630
00275710,써미트테크놀로지,Summit Technology,039000,20170630
